study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
glass,,0,0,0,7,,,,,15.07547660000273,15.07547660000273,1.0148148148148148,4.298072099991259,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
girl,,0,1,1,5,,,,,19.357407300005434,19.357407300005434,1.0148148148148148,1.2160768999892753,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
door,,0,2,2,11,,,,,20.59812840000086,20.59812840000086,1.0148148148148148,1.078439899996738,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
teddy,,0,3,3,10,,,,,21.698039299997617,21.698039299997617,1.0148148148148148,1.1612680999969598,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
fan,,0,4,4,9,,,,,22.881249500002014,22.881249500002014,1.0148148148148148,1.1278916999872308,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
cushion,,0,5,5,3,,,,,24.030969300001743,24.030969300001743,1.0148148148148148,1.16159940000216,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
book,,0,6,6,2,,,,,25.21424630000547,25.21424630000547,1.0148148148148148,1.1966528000048129,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
window,,0,7,7,12,,,,,26.43070080000325,26.43070080000325,1.0148148148148148,1.1779929999902379,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
frame,,0,8,8,14,,,,,27.630707000003895,27.630707000003895,1.0148148148148148,1.1800114999932703,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
bottle,,0,9,9,6,,,,,28.830504700003075,28.830504700003075,1.0148148148148148,1.2467524999956368,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
water,,0,10,10,19,,,,,30.096949400001904,30.096949400001904,1.0148148148148148,1.163361500002793,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
bus,,0,11,11,15,,,,,31.280214700003853,31.280214700003853,1.0148148148148148,1.1297517000057269,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
shoes,,0,12,12,18,,,,,32.430054700002074,32.430054700002074,1.0148148148148148,1.2298516999871936,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
blanket,,0,13,13,16,,,,,33.67983579999418,33.67983579999418,1.0148148148148148,1.2129897999984678,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
ring,,0,14,14,8,,,,,34.91307229999802,34.91307229999802,1.0148148148148148,0.9962530000047991,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
car,,0,15,15,13,,,,,35.92962100000295,35.92962100000295,1.0148148148148148,0.9465580000105547,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
vase,,0,16,16,0,,,,,36.89612869999837,36.89612869999837,1.0148148148148148,1.0961526000028243,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
bag,,0,17,17,17,,,,,38.012630099998205,38.012630099998205,1.0148148148148148,0.9963132999982918,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
piano,,0,18,18,4,,,,,39.029207600004156,39.029207600004156,1.0148148148148148,1.0948254999966593,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
tiger,,0,19,19,1,,,,,40.1454298000026,40.1454298000026,1.0148148148148148,1.0296501999982866,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_p_a_d_,,,,,0,0,0,7,,,,,41.2000027000031,41.2000027000031,41.2000027000031,0.008057099999859929,,[],[],[],[],[],[],[],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,c_m_r_,,,,,0,1,1,6,,,,,51.210789500008104,51.210789500008104,51.210789500008104,0.016942400005063973,camera,[-0.06666666666666667],[-0.30092592592592593],[1],[0],[0],[6.4295274000032805],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_e_dy,,,,,0,2,2,15,,,,,57.64352969999891,57.64352969999891,57.64352969999891,0.002035299999988638,teddy,[-0.012962962962962963],[-0.2953703703703704],[1],[0],[0],[4.846384400007082],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,s_o__,,,,,0,3,3,14,,,,,62.49279659999593,62.49279659999593,62.49279659999593,0.00190610000572633,,[],[],[],[],[],[],[],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_l_p_a_t,,,,,0,4,4,13,,,,,72.50820359999489,72.50820359999489,72.50820359999489,0.016177199999219738,elephant,[0.05462962962962963],[-0.31574074074074077],[1],[0],[0],[7.363970999998855],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_a_e,,,,,0,5,5,0,,,,,79.87393250000605,79.87393250000605,79.87393250000605,0.0017416000046068802,water,[0.08425925925925926],[-0.32037037037037036],[1],[0],[0],[7.57947320000676],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_o_s_,,,,,0,6,6,8,,,,,87.45637780000106,87.45637780000106,87.45637780000106,0.0019992000015918165,,[],[],[],[],[],[],[],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_ia_n_,,,,,0,7,7,4,,,,,97.47163230000297,97.47163230000297,97.47163230000297,0.017573999997694045,piano,"[0.028703703703703703, 0.030555555555555555]","[-0.3388888888888889, -0.32037037037037036]","[1, 1]","[0, 0]","[0, 0]","[5.646865100003197, 6.696414100006223]",['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_ra_n,,,,,0,8,8,16,,,,,104.17079269999522,104.17079269999522,104.17079269999522,0.0023902000102680176,train,[0.04722222222222222],[-0.2898148148148148],[1],[0],[0],[6.545532299991464],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_oo_,,,,,0,9,9,2,,,,,110.71999219999998,110.71999219999998,110.71999219999998,0.0016596999921603128,book,[0.046296296296296294],[-0.3074074074074074],[1],[0],[0],[3.7138980999880005],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_ea_o_,,,,,0,10,10,5,,,,,114.43620009999722,114.43620009999722,114.43620009999722,0.001987399999052286,peacook,[-0.014814814814814815],[-0.3111111111111111],[1],[0],[0],[8.829620900010923],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,w_t__,,,,,0,11,11,18,,,,,123.26830150000751,123.26830150000751,123.26830150000751,0.0022806999913882464,water,[0.023148148148148147],[-0.2777777777777778],[1],[0],[0],[4.412249200002407],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,b_g,,,,,0,12,12,17,,,,,127.68451229999482,127.68451229999482,127.68451229999482,0.0017154999950435013,bag,[0.012037037037037037],[-0.2916666666666667],[1],[0],[0],[2.9473126999946544],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,c_s_h_o_n,,,,,0,13,13,3,,,,,130.63397179999447,130.63397179999447,130.63397179999447,0.0021548000077018514,cushion,[0.009259259259259259],[-0.2962962962962963],[1],[0],[0],[4.762808900006348],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,p_o_e,,,,,0,14,14,11,,,,,135.40000910000526,135.40000910000526,135.40000910000526,0.0019765000033658,peo,[],[],[],[],[],[],[],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,t_g_r,,,,,0,15,15,1,,,,,145.4154950999946,145.4154950999946,145.4154950999946,0.017477400004281662,tiger,[0.004629629629629629],[-0.29814814814814816],[1],[0],[0],[4.663615599987679],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,d__t_n,,,,,0,16,16,19,,,,,150.08143479999853,150.08143479999853,150.08143479999853,0.002309400006197393,dustin,[0.01574074074074074],[-0.3],[1],[0],[0],[6.979082400008338],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_ar,,,,,0,17,17,12,,,,,157.06404589999875,157.06404589999875,157.06404589999875,0.0020518999954219908,car,[0.01574074074074074],[-0.3],[1],[0],[0],[5.112305399990873],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,o_a_n_e,,,,,0,18,18,9,,,,,162.18010729999514,162.18010729999514,162.18010729999514,0.002430900000035763,orange,[0.01574074074074074],[-0.3],[1],[0],[0],[6.64618499999051],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_u_,,,,,0,19,19,10,,,,,168.82913280000503,168.82913280000503,168.82913280000503,0.0015648999979021028,bus,[0.01574074074074074],[-0.3],[1],[0],[0],[3.9801194000028772],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
